Deserialize time: 0.1355s, Aggregation+Serialization time: 0.1924s 
Deserialize time: 0.1281s, Aggregation+Serialization time: 0.1543s 
Deserialize time: 0.1195s, Aggregation+Serialization time: 0.1496s 
Deserialize time: 0.1214s, Aggregation+Serialization time: 0.1742s 
Deserialize time: 0.1208s, Aggregation+Serialization time: 0.1653s 
Deserialize time: 0.1298s, Aggregation+Serialization time: 0.1520s 
Deserialize time: 0.1088s, Aggregation+Serialization time: 0.1389s 
Deserialize time: 0.1048s, Aggregation+Serialization time: 0.1801s 
Deserialize time: 0.1171s, Aggregation+Serialization time: 0.1602s 
Deserialize time: 0.1537s, Aggregation+Serialization time: 0.1974s 
Deserialize time: 0.1666s, Aggregation+Serialization time: 0.2170s 
Deserialize time: 0.1813s, Aggregation+Serialization time: 0.1961s 
Deserialize time: 0.1713s, Aggregation+Serialization time: 0.2424s 
Deserialize time: 0.1374s, Aggregation+Serialization time: 0.1621s 
Deserialize time: 0.1112s, Aggregation+Serialization time: 0.1543s 
Deserialize time: 0.1315s, Aggregation+Serialization time: 0.1631s 
Deserialize time: 0.1262s, Aggregation+Serialization time: 0.1597s 
Deserialize time: 0.1287s, Aggregation+Serialization time: 0.1645s 
Deserialize time: 0.1240s, Aggregation+Serialization time: 0.1691s 
Deserialize time: 0.1325s, Aggregation+Serialization time: 0.1508s 
Deserialize time: 0.1238s, Aggregation+Serialization time: 0.1566s 
Deserialize time: 0.1352s, Aggregation+Serialization time: 0.1829s 
Deserialize time: 0.1373s, Aggregation+Serialization time: 0.1666s 
Deserialize time: 0.1713s, Aggregation+Serialization time: 0.2469s 
Deserialize time: 0.1790s, Aggregation+Serialization time: 0.2203s 
Deserialize time: 0.2101s, Aggregation+Serialization time: 0.2178s 
Deserialize time: 0.1539s, Aggregation+Serialization time: 0.2262s 
Deserialize time: 0.1220s, Aggregation+Serialization time: 0.1355s 
Deserialize time: 0.1302s, Aggregation+Serialization time: 0.2003s 
Deserialize time: 0.1588s, Aggregation+Serialization time: 0.1871s 
Deserialize time: 0.1142s, Aggregation+Serialization time: 0.1618s 
Deserialize time: 0.1307s, Aggregation+Serialization time: 0.1542s 
Deserialize time: 0.1188s, Aggregation+Serialization time: 0.2006s 
Deserialize time: 0.1149s, Aggregation+Serialization time: 0.1397s 
Deserialize time: 0.1142s, Aggregation+Serialization time: 0.1474s 
Deserialize time: 0.1432s, Aggregation+Serialization time: 0.1456s 
Deserialize time: 0.1370s, Aggregation+Serialization time: 0.1600s 
Deserialize time: 0.1591s, Aggregation+Serialization time: 0.1994s 
Deserialize time: 0.1303s, Aggregation+Serialization time: 0.1730s 
Deserialize time: 0.1423s, Aggregation+Serialization time: 0.1939s 
Deserialize time: 0.1631s, Aggregation+Serialization time: 0.2084s 
Deserialize time: 0.1795s, Aggregation+Serialization time: 0.2214s 
Deserialize time: 0.1264s, Aggregation+Serialization time: 0.2155s 
Deserialize time: 0.1434s, Aggregation+Serialization time: 0.2060s 
Deserialize time: 0.1338s, Aggregation+Serialization time: 0.1535s 
Deserialize time: 0.1264s, Aggregation+Serialization time: 0.1602s 
Deserialize time: 0.1353s, Aggregation+Serialization time: 0.1598s 
Deserialize time: 0.1320s, Aggregation+Serialization time: 0.1657s 
Deserialize time: 0.1119s, Aggregation+Serialization time: 0.1646s 
Deserialize time: 0.2018s, Aggregation+Serialization time: 0.2804s 
Deserialize time: 0.1853s, Aggregation+Serialization time: 0.2561s 
Deserialize time: 0.1901s, Aggregation+Serialization time: 0.2331s 
Deserialize time: 0.1747s, Aggregation+Serialization time: 0.1960s 
Deserialize time: 0.1484s, Aggregation+Serialization time: 0.1709s 
Deserialize time: 0.1225s, Aggregation+Serialization time: 0.1807s 
Deserialize time: 0.1291s, Aggregation+Serialization time: 0.1579s 
Deserialize time: 0.1423s, Aggregation+Serialization time: 0.1814s 
Deserialize time: 0.1306s, Aggregation+Serialization time: 0.1601s 
Deserialize time: 0.0939s, Aggregation+Serialization time: 0.1416s 
Deserialize time: 0.2461s, Aggregation+Serialization time: 0.3015s 
Deserialize time: 0.1881s, Aggregation+Serialization time: 0.2375s 
Deserialize time: 0.1907s, Aggregation+Serialization time: 0.2410s 
Deserialize time: 0.1818s, Aggregation+Serialization time: 0.2335s 
Deserialize time: 0.1521s, Aggregation+Serialization time: 0.1741s 
Deserialize time: 0.1296s, Aggregation+Serialization time: 0.1809s 
Deserialize time: 0.1486s, Aggregation+Serialization time: 0.1697s 
Deserialize time: 0.1297s, Aggregation+Serialization time: 0.1733s 
Deserialize time: 0.1453s, Aggregation+Serialization time: 0.1570s 
Deserialize time: 0.1025s, Aggregation+Serialization time: 0.1558s 
Deserialize time: 0.2287s, Aggregation+Serialization time: 0.2558s 
Deserialize time: 0.2193s, Aggregation+Serialization time: 0.2958s 
Deserialize time: 0.1756s, Aggregation+Serialization time: 0.2989s 
Deserialize time: 0.1982s, Aggregation+Serialization time: 0.2697s 
Deserialize time: 0.2188s, Aggregation+Serialization time: 0.2592s 
Deserialize time: 0.1335s, Aggregation+Serialization time: 0.1736s 
Deserialize time: 0.1150s, Aggregation+Serialization time: 0.1669s 
Deserialize time: 0.1137s, Aggregation+Serialization time: 0.1572s 
Deserialize time: 0.1663s, Aggregation+Serialization time: 0.1721s 
Deserialize time: 0.1062s, Aggregation+Serialization time: 0.1716s 
Deserialize time: 0.1620s, Aggregation+Serialization time: 0.1752s 
Deserialize time: 0.1364s, Aggregation+Serialization time: 0.1688s 
Deserialize time: 0.1345s, Aggregation+Serialization time: 0.1738s 
Deserialize time: 0.1999s, Aggregation+Serialization time: 0.2892s 
Deserialize time: 0.2235s, Aggregation+Serialization time: 0.2619s 
Deserialize time: 0.1906s, Aggregation+Serialization time: 0.2581s 
Deserialize time: 0.1629s, Aggregation+Serialization time: 0.2348s 
Deserialize time: 0.1615s, Aggregation+Serialization time: 0.2387s 
Deserialize time: 0.1758s, Aggregation+Serialization time: 0.2173s 
Deserialize time: 0.1087s, Aggregation+Serialization time: 0.1475s 
Deserialize time: 0.1227s, Aggregation+Serialization time: 0.1753s 
Deserialize time: 0.1028s, Aggregation+Serialization time: 0.1504s 
Deserialize time: 0.1222s, Aggregation+Serialization time: 0.1725s 
Deserialize time: 0.1170s, Aggregation+Serialization time: 0.1699s 
Deserialize time: 0.1500s, Aggregation+Serialization time: 0.1541s 
Deserialize time: 0.1150s, Aggregation+Serialization time: 0.1530s 
Deserialize time: 0.1130s, Aggregation+Serialization time: 0.1572s 
Deserialize time: 0.1270s, Aggregation+Serialization time: 0.1872s 
Deserialize time: 0.1576s, Aggregation+Serialization time: 0.1791s 
Deserialize time: 0.1543s, Aggregation+Serialization time: 0.2220s 
Deserialize time: 0.1486s, Aggregation+Serialization time: 0.1634s 
Deserialize time: 0.1599s, Aggregation+Serialization time: 0.2527s 
Deserialize time: 0.1624s, Aggregation+Serialization time: 0.2016s 
Deserialize time: 0.1433s, Aggregation+Serialization time: 0.1951s 
Deserialize time: 0.1810s, Aggregation+Serialization time: 0.1718s 
Deserialize time: 0.1094s, Aggregation+Serialization time: 0.1483s 
Deserialize time: 0.1364s, Aggregation+Serialization time: 0.1427s 
Deserialize time: 0.1042s, Aggregation+Serialization time: 0.1336s 
Deserialize time: 0.1696s, Aggregation+Serialization time: 0.1738s 
Deserialize time: 0.1164s, Aggregation+Serialization time: 0.1556s 
Deserialize time: 0.1504s, Aggregation+Serialization time: 0.1772s 
Deserialize time: 0.1414s, Aggregation+Serialization time: 0.1850s 
Deserialize time: 0.1725s, Aggregation+Serialization time: 0.1482s 
Deserialize time: 0.1498s, Aggregation+Serialization time: 0.2201s 
Deserialize time: 0.1815s, Aggregation+Serialization time: 0.2057s 
Deserialize time: 0.1257s, Aggregation+Serialization time: 0.1613s 
Deserialize time: 0.1710s, Aggregation+Serialization time: 0.1753s 
Deserialize time: 0.1385s, Aggregation+Serialization time: 0.1924s 
Deserialize time: 0.1229s, Aggregation+Serialization time: 0.1419s 
Deserialize time: 0.1380s, Aggregation+Serialization time: 0.1522s 
Deserialize time: 0.1501s, Aggregation+Serialization time: 0.1501s 
Deserialize time: 0.0944s, Aggregation+Serialization time: 0.1201s 
Deserialize time: 0.1213s, Aggregation+Serialization time: 0.1410s 
Deserialize time: 0.1651s, Aggregation+Serialization time: 0.2157s 
Deserialize time: 0.2488s, Aggregation+Serialization time: 0.2119s 
